Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,team,match_url,id
Yaser Asprilla,10.0,co COL,FW,21-269,45,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Portu,8.0,es ESP,"FW,MF",33-086,45,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Bojan Miovski,19.0,mk MKD,FW,26-052,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Vladyslav Krapyvtsov,25.0,ua UKR,GK,20-051,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Viktor Tsyhankov,15.0,ua UKR,FW,27-273,90,0,1,0,0,0,0,0,0,2,3,0,2,2,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Joel Roca,33.0,es ESP,CM,20-069,90,1,0,0,0,1,1,0,0,1,2,0,1,2,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Jhon Solis,22.0,co COL,CM,20-316,90,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Yangel Herrera,21.0,ve VEN,CM,27-213,69,0,0,0,0,1,0,0,0,1,3,0,2,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Thomas Lemar,11.0,fr FRA,MF,29-276,21,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
Daley Blind,17.0,nl NED,LB,35-159,57,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,9024a00a_summary,https://fbref.com/en/matches/12c8079e/Girona-Rayo-Vallecano-August-15-2025-La-Liga,247102277803306
